Using Bubble Sort
10000, 102
20000, 460
30000, 1144
40000, 2137
50000, 3382
60000, 4959
70000, 6957
80000, 8995
90000, 11394
100000, 14085
110000, 15864
Using Insertion Sort
10000, 27
20000, 108
30000, 241
40000, 429
50000, 668
60000, 974
70000, 1321
80000, 1724
90000, 2206
100000, 2792
110000, 3413
Using Selection Sort
10000, 39
20000, 145
30000, 320
40000, 545
50000, 872
60000, 1267
70000, 1690
80000, 2232
90000, 2854
100000, 3677
110000, 4193
Using Quicksort
1000000, 96
2000000, 200
3000000, 304
4000000, 407
5000000, 504
6000000, 598
7000000, 718
8000000, 813
9000000, 957
10000000, 1029
11000000, 1221
