Using Bubble Sort
10000, 88
20000, 414
30000, 1003
40000, 1855
50000, 2853
60000, 4130
70000, 5667
80000, 7416
90000, 9440
100000, 11661
110000, 14139
Using Insertion Sort
10000, 29
20000, 107
30000, 234
40000, 413
50000, 642
60000, 939
70000, 1263
80000, 1659
90000, 2073
100000, 2575
110000, 3248
Using Selection Sort
10000, 32
20000, 129
30000, 293
40000, 510
50000, 751
60000, 1073
70000, 1471
80000, 2012
90000, 2408
100000, 2985
110000, 3581
Using Quicksort
1000000, 80
2000000, 162
3000000, 249
4000000, 336
5000000, 421
6000000, 508
7000000, 614
8000000, 717
9000000, 829
10000000, 931
11000000, 1026
