Using Bubble Sort
10000, 2348
20000, 8957
30000, 20588
40000, 36909
50000, 57334
60000, 82996
70000, 113243
80000, 148189
90000, 187152
100000, 227279
110000, 268912
Using Insertion Sort
10000, 716
20000, 2878
30000, 6427
40000, 11442
50000, 17847
60000, 25836
70000, 35405
80000, 45939
90000, 58145
100000, 71684
110000, 86064
Using Selection Sort
10000, 1658
20000, 6572
30000, 14853
40000, 26359
50000, 41458
60000, 59259
70000, 82472
80000, 106566
90000, 134394
100000, 165134
110000, 199509
Using Quicksort
1000000, 335
2000000, 702
3000000, 1099
4000000, 1479
5000000, 1882
6000000, 2297
7000000, 2675
8000000, 3055
9000000, 3494
10000000, 3891
11000000, 4309
