Using Bubble Sort
10000, 275
20000, 1102
30000, 2477
40000, 4398
50000, 6868
60000, 9886
70000, 13453
80000, 17569
90000, 22238
100000, 27463
110000, 33245
Using Insertion Sort
10000, 232
20000, 932
30000, 2091
40000, 3751
50000, 5797
60000, 8380
70000, 11388
80000, 14875
90000, 18762
100000, 23273
110000, 28087
Using Selection Sort
10000, 254
20000, 1020
30000, 2290
40000, 4066
50000, 6349
60000, 9140
70000, 12435
80000, 16242
90000, 20556
100000, 25386
110000, 30727
Using Quicksort
1000000, 292
2000000, 622
3000000, 963
4000000, 1299
5000000, 1660
6000000, 1976
7000000, 2356
8000000, 2766
9000000, 3075
10000000, 3446
11000000, 3930
