Using Bubble Sort
10000, 275
20000, 1102
30000, 2476
40000, 4394
50000, 6862
60000, 9878
70000, 13442
80000, 17554
90000, 22216
100000, 27428
110000, 33204
Using Insertion Sort
10000, 230
20000, 935
30000, 2091
40000, 3725
50000, 5776
60000, 8359
70000, 11345
80000, 14818
90000, 18794
100000, 23194
110000, 28089
Using Selection Sort
10000, 253
20000, 1019
30000, 2289
40000, 4063
50000, 6343
60000, 9133
70000, 12430
80000, 16233
90000, 20551
100000, 25367
110000, 30700
Using Quicksort
1000000, 304
2000000, 647
3000000, 991
4000000, 1333
5000000, 1745
6000000, 2098
7000000, 2478
8000000, 2854
9000000, 3249
10000000, 3601
11000000, 4001
