Using Bubble Sort
10000, 2918
20000, 11587
30000, 25769
40000, 46091
50000, 70922
60000, 102285
70000, 138620
80000, 182120
90000, 255240
100000, 299665
110000, 346334
Using Insertion Sort
10000, 890
20000, 3595
30000, 7997
40000, 14259
50000, 22254
60000, 33166
70000, 44154
80000, 52066
90000, 67010
100000, 87318
110000, 110383
Using Selection Sort
10000, 2105
20000, 8231
30000, 17949
40000, 33198
50000, 51464
60000, 74283
70000, 103226
80000, 131719
90000, 163694
100000, 202731
110000, 247871
Using Quicksort
1000000, 379
2000000, 813
3000000, 1243
4000000, 1686
5000000, 2167
6000000, 2682
7000000, 3181
8000000, 3601
9000000, 4097
10000000, 4474
11000000, 4963
