libGLX.so.0->malloc(684)                                                     = 0x5582423d2690 <0.000046>
libGLX.so.0->free(0x5582423d2690)                                            = <void> <0.000047>
libGLX.so.0->malloc(64)                                                      = 0x5582423ca980 <0.000044>
libxcb.so.1->malloc(32)                                                      = 0x5582423d2200 <0.000044>
libxcb.so.1->malloc(16)                                                      = 0x5582423d21e0 <0.000045>
libxcb.so.1->free(0x5582423d21e0)                                            = <void> <0.000046>
libxcb.so.1->malloc(40)                                                      = 0x5582423d2200 <0.000044>
libxcb.so.1->malloc(16)                                                      = 0x5582423d2390 <0.000043>
libxcb.so.1->free(0x5582423d2390)                                            = <void> <0.000043>
libGLX.so.0->malloc(8)                                                       = 0x5582423d2390 <0.000044>
libGLX.so.0->malloc(256)                                                     = 0x5582423d2df0 <0.000047>
libGLX.so.0->free(0x5582423d2df0)                                            = <void> <0.000074>
libGLX.so.0->malloc(64)                                                      = 0x5582423ca8e0 <0.000049>
libGLX.so.0->malloc(64)                                                      = 0x5582423d94f0 <0.000056>
libGLX.so.0->free(0x5582423d2390)                                            = <void> <0.000064>
libxcb.so.1->malloc(32)                                                      = 0x5582423d9750 <0.000053>
libxcb.so.1->malloc(16)                                                      = 0x5582423d9780 <0.000055>
libxcb.so.1->free(0x5582423d9780)                                            = <void> <0.000052>
libxcb.so.1->malloc(32)                                                      = 0x5582423d9750 <0.000051>
libxcb.so.1->malloc(16)                                                      = 0x5582423d9850 <0.000051>
libxcb.so.1->free(0x5582423d9850)                                            = <void> <0.000050>
libGLX_nvidia.so.0->malloc(32)                                               = 0x5582424528a0 <0.000094>
libGLX_nvidia.so.0->malloc(112)                                              = 0x5582423d92a0 <0.000050>
libxcb.so.1->malloc(32)                                                      = 0x5582423da010 <0.000051>
libxcb.so.1->malloc(16)                                                      = 0x5582423da040 <0.000050>
libxcb.so.1->free(0x5582423da040)                                            = <void> <0.000050>
libxcb.so.1->malloc(32)                                                      = 0x5582423da060 <0.000053>
libxcb.so.1->malloc(16)                                                      = 0x5582423d9830 <0.000051>
libxcb.so.1->free(0x5582423d9830)                                            = <void> <0.000049>
libGLX_nvidia.so.0->malloc(64)                                               = 0x558242443ee0 <0.000051>
libxcb.so.1->malloc(32)                                                      = 0x5582423da060 <0.000051>
libxcb.so.1->malloc(16)                                                      = 0x558242443f50 <0.000049>
libxcb.so.1->free(0x558242443f50)                                            = <void> <0.000050>
libGLX_nvidia.so.0->malloc(1024)                                             = 0x5582423ce680 <0.000050>
libGLX_nvidia.so.0->malloc(64)                                               = 0x558242443f70 <0.000052>
libxcb.so.1->malloc(21152)                                                   = 0x5582424541b0 <0.000055>
libxcb.so.1->malloc(16)                                                      = 0x5582423da040 <0.000051>
libxcb.so.1->free(0x5582423da040)                                            = <void> <0.000050>
libGLX_nvidia.so.0->malloc(15840)                                            = 0x558242459460 <0.000049>
libGLX_nvidia.so.0->malloc(160)                                              = 0x558242444470 <0.000052>
libGLX_nvidia.so.0->free(0x558242444470)                                     = <void> <0.000053>
libxcb.so.1->malloc(70552)                                                   = 0x55824245d250 <0.000055>
libxcb.so.1->malloc(16)                                                      = 0x558242443f30 <0.000050>
libxcb.so.1->free(0x558242443f30)                                            = <void> <0.000050>
libGLX_nvidia.so.0->malloc(39560)                                            = 0x55824246e5f0 <0.000049>
libGLX_nvidia.so.0->malloc(328)                                              = 0x5582423daf70 <0.000048>
libGLX_nvidia.so.0->free(0x5582423daf70)                                     = <void> <0.000050>
libGLX_nvidia.so.0->malloc(24288)                                            = 0x55824245d250 <0.000050>
libxcb.so.1->malloc(716)                                                     = 0x5582423d23b0 <0.000050>
libxcb.so.1->malloc(16)                                                      = 0x558242443f50 <0.000049>
libxcb.so.1->free(0x558242443f50)                                            = <void> <0.000049>
libGLX_nvidia.so.0->malloc(683)                                              = 0x5582423d2690 <0.000051>
libGLX_nvidia.so.0->malloc(709)                                              = 0x558242440360 <0.000050>
libGLX_nvidia.so.0->malloc(684)                                              = 0x558242440630 <0.000050>
libGLX_nvidia.so.0->free(0x558242440630)                                     = <void> <0.000049>
libGLX_nvidia.so.0->malloc(80)                                               = 0x5582424413b0 <0.000051>
libGLX_nvidia.so.0->malloc(8)                                                = 0x5582423da040 <0.000048>
libGLX_nvidia.so.0->malloc(8)                                                = 0x558242441410 <0.000049>
libGLX_nvidia.so.0->malloc(8)                                                = 0x558242441430 <0.000047>
libGLX_nvidia.so.0->malloc(8)                                                = 0x558242441450 <0.000047>
libGLX_nvidia.so.0->malloc(8)                                                = 0x558242441470 <0.000048>
libGLX_nvidia.so.0->malloc(8)                                                = 0x558242441490 <0.000047>
libGLX_nvidia.so.0->malloc(8)                                                = 0x5582424414b0 <0.000047>
libGLX_nvidia.so.0->malloc(8)                                                = 0x5582424414d0 <0.000048>
libGLX_nvidia.so.0->malloc(8)                                                = 0x5582423da090 <0.000047>
libGLX_nvidia.so.0->malloc(8)                                                = 0x558242444000 <0.000047>
libGLX.so.0->malloc(72)                                                      = 0x558242443040 <0.000050>
libGLX.so.0->malloc(64)                                                      = 0x5582424435c0 <0.000047>
libGLX.so.0->malloc(72)                                                      = 0x558242440e40 <0.000048>
libGLX.so.0->malloc(72)                                                      = 0x558242440e90 <0.000047>
libGLX.so.0->malloc(72)                                                      = 0x558242440ee0 <0.000046>
libGLX.so.0->malloc(72)                                                      = 0x558242440f30 <0.000048>
libGLX.so.0->malloc(72)                                                      = 0x558242440f80 <0.000049>
libGLX.so.0->malloc(72)                                                      = 0x558242440fd0 <0.000050>
libGLX.so.0->malloc(72)                                                      = 0x558242441020 <0.000048>
